"","logFC","logCPM","F","PValue","FDR","genes"
"yihU",0.247088967843391,2.200898205546,1.22086054490171,0.280767474685856,0.348134395041139,"yihU"
"finO",0.132208600683759,5.94074207351628,1.2109712112555,0.282674296773068,0.350408911709721,"finO"
"actP",0.174101224278316,3.93829119588926,1.20946061936925,0.282967072648188,0.350681970381575,"actP"
"nanA",0.213441941766781,2.72238697990158,1.20849625740445,0.283154191134354,0.350823981177477,"nanA"
"dsdC",-0.154440328406033,5.28171869298579,1.20793462280057,0.283263242671417,0.350869220179679,"dsdC"
"cstAb",-0.853629124616655,5.97375092454995,1.27915282544905,0.283760920183768,0.35139569148205,"cstAb"
"SL1344_4466",0.361531559929808,0.859696522734463,1.20017196693231,0.284776228650713,0.35256273815805,"SL1344_4466"
"cysP",0.244995942202193,3.40402660792365,1.19935628291948,0.285432861346376,0.353285248293864,"cysP"
"yhjK",-0.132468954702375,6.52138741232687,1.19153468084534,0.286472329997377,0.354481110308855,"yhjK"
"hutH",0.167438805006748,4.54285848669346,1.18643455893624,0.287480153173427,0.355637212506359,"hutH"
"repZ",-0.110935511933463,6.61437275827251,1.18141057237158,0.288477553115219,0.356779832374921,"repZ"
"SL1344_2940",0.17600356912484,4.53716568996072,1.17923142046301,0.288911608963175,0.35722532018274,"SL1344_2940"
"gudT",0.1511243914408,3.9956312575093,1.17884070984761,0.28898952496443,0.357230343024009,"gudT"
"ynfD",-0.136190535281253,5.26997030324322,1.17827848052372,0.289101694624039,0.357277694659294,"ynfD"
"rbsD",-0.208183987188973,4.22701698531098,1.18108883541445,0.289354739171921,0.357499073658897,"rbsD"
