"","logFC","logCPM","F","PValue","FDR","genes"
"ugpB",1.20806282818384,6.07212940404921,148.826099477327,1.90217489535097e-11,5.38059647298985e-10,"ugpB"
"leuA",1.21034689384515,7.20763744024509,148.729829111911,1.914407691959e-11,5.38371511977074e-10,"leuA"
"yheR",1.67343357689355,5.96903765829453,157.10565152744,1.93743804794135e-11,5.41698718953312e-10,"yheR"
"ygaU",1.89476933820798,4.50325666251347,148.398663564704,1.95714609208670e-11,5.44064117668011e-10,"ygaU"
"rimO",-1.76245997539722,8.57819910379178,154.607478655134,1.99526385355736e-11,5.51490929123254e-10,"rimO"
"SL1344_4016",1.20401286992602,7.20354667801579,147.407273763789,2.09141780588196e-11,5.74783404946081e-10,"SL1344_4016"
"lrhA",1.2110997230749,7.37130120533269,147.193237214737,2.1217029295843e-11,5.79812263864365e-10,"lrhA"
"pgtE",1.53857003376181,5.62672978777353,146.91664906366,2.16154767955726e-11,5.87382366630252e-10,"pgtE"
"osmC",1.84644530487643,4.58622330497289,146.778203298131,2.18179708637238e-11,5.89572765742077e-10,"osmC"
"ygaC",2.59162662206846,5.2065533658359,213.804262421873,2.23908297747441e-11,6.01691353446873e-10,"ygaC"
"asnCa",-1.25096805500585,9.90482685906419,145.452384305096,2.38651479690337e-11,6.37766412852021e-10,"asnCa"
"orgC",1.49254304520715,7.70159832575066,152.709596667634,2.54518900782131e-11,6.76432924770971e-10,"orgC"
"potA",-1.41613931288728,7.74045203340147,142.926093155871,2.83690633422895e-11,7.46429284367481e-10,"potA"
"yoaE",1.22058145253116,5.97826100189321,142.913224205883,2.83942502219592e-11,7.46429284367481e-10,"yoaE"
"gpt",-1.20871611179657,8.09466418733047,141.930291901922,3.03918712691403e-11,7.94624223399091e-10,"gpt"
"yhdG",-2.02763385953845,10.8019231839493,154.604800399587,3.17057252577607e-11,8.2451931759026e-10,"yhdG"
"flhB",-1.33289099608255,6.27743923832886,141.167105101807,3.20483818421784e-11,8.28973384869609e-10,"flhB"
"rplY",-1.43991478520905,10.7009814171936,140.629106446195,3.32750747737680e-11,8.56125195110192e-10,"rplY"
"SL1344_1811",1.25124594663828,5.61413994599429,140.345106088705,3.39431547250549e-11,8.68693330185664e-10,"SL1344_1811"
"kdpE",1.18479948440581,5.87396057831225,139.944591874151,3.49102522495901e-11,8.86398362298096e-10,"kdpE"
"yhiN",-1.30142666014354,7.3991149514608,139.907441497251,3.50014652054861e-11,8.86398362298096e-10,"yhiN"
"ydcR",1.1232017214331,7.01697191835001,139.746839238102,3.53987764882959e-11,8.89870293094037e-10,"ydcR"
"yjeA",-1.08106406683378,7.85573563623308,139.703630669186,3.5506505389115e-11,8.89870293094037e-10,"yjeA"
"ftn",-1.56962052755986,6.7505723184962,138.880804416188,3.76275963399263e-11,9.38168471630018e-10,"ftn"
"pipB2",2.88691384818647,8.35526406936578,289.763902545322,3.84934304056713e-11,9.54834476267856e-10,"pipB2"
"ypfG",1.72501895945504,5.06098948797928,140.34590451758,3.99894139057309e-11,9.84711157993359e-10,"ypfG"
"argE",1.12427415022867,6.94132629475199,137.981383835093,4.0105044061338e-11,9.84711157993359e-10,"argE"
"hypE",1.25836768355361,5.88167010120974,137.71642224565,4.08683179710336e-11,9.98384111241865e-10,"hypE"
"proW",1.4523591451275,5.88456021563685,136.971863989631,4.30990838128277e-11,1.04758928845552e-09,"proW"
"ybgJ",1.28373477891039,6.46648299321436,136.730869491643,4.38492424198155e-11,1.06049392792324e-09,"ybgJ"
"yejG",1.19017966286764,6.8199706096766,135.96205751159,4.63389172211217e-11,1.11513105770431e-09,"yejG"
"nusG",-1.23876590508083,9.25295481766424,135.326215449128,4.85143476136211e-11,1.1617024723123e-09,"nusG"
"ybaY",1.38366637687408,5.8469559435695,135.030003855683,4.95655215583037e-11,1.18102673782027e-09,"ybaY"
"phoQ",0.998414783957517,8.82578645915663,134.728122235354,5.06623709385523e-11,1.20124455014597e-09,"phoQ"
"rluA",-1.52930152865662,6.73633671771622,134.271816921401,5.23707569564853e-11,1.23569439706595e-09,"rluA"
"yegQ",-2.33274128014334,7.6722140549834,179.39400303181,5.3970789334245e-11,1.26726557286283e-09,"yegQ"
"yegS",1.43498921608712,4.72755426061515,133.729526068198,5.44830371652403e-11,1.27311328873559e-09,"yegS"
"rseA",0.997343698451278,7.98561778210797,133.486171662435,5.54609118611661e-11,1.28973283977144e-09,"rseA"
"rplK",-1.3228632341109,11.4128672616905,133.264259389518,5.63692904491007e-11,1.30458496603971e-09,"rplK"
"ramR",1.11772791003978,6.30997690420039,132.093591161826,6.143721450075e-11,1.41215182912864e-09,"ramR"
"frwB",1.60930574058909,4.47122905935777,132.05753005966,6.16009997821259e-11,1.41215182912864e-09,"frwB"
"tsf",-1.50947714419646,12.3726085584861,131.972527297249,6.19889554841353e-11,1.4143423475319e-09,"tsf"
"tas",1.00523184984634,6.87612306286799,131.719878985417,6.31578325606669e-11,1.43424617885421e-09,"tas"
"yejF",1.1356704904832,6.55083622605906,131.504027498646,6.41754796069359e-11,1.45054577036799e-09,"yejF"
"SL1344_0713",1.38382975004253,6.5062431053183,131.171956225379,6.57760621993168e-11,1.47295746693563e-09,"SL1344_0713"
"ychF",-1.23980737183176,8.41270869212925,131.20687926384,6.56057065823984e-11,1.47295746693563e-09,"ychF"
"rps16",-1.40489573705398,10.8238650474195,130.911419880268,6.70622614493922e-11,1.49483944069452e-09,"rps16"
"ydiU",1.01727738896362,7.43570734813304,130.301334581902,7.01824675232566e-11,1.55721374041281e-09,"ydiU"
"orgB",1.40179242867527,9.2698990696582,135.471478451418,7.10312715970679e-11,1.56885050554803e-09,"orgB"
"kdgR",-1.53916572081162,8.02013297843724,130.0230076538,7.21416378728024e-11,1.5861322835943e-09,"kdgR"
"elaB",1.33769644242903,6.17770279370812,129.510299754047,7.44655714286375e-11,1.62981886425484e-09,"elaB"
"rpsO",-1.2313009248731,10.5389233487173,129.394303224972,7.51172047967768e-11,1.63667531352256e-09,"rpsO"
"SL1344_0301",2.06155688197951,3.54946117132349,128.989692502964,7.74392127937466e-11,1.67970166943207e-09,"SL1344_0301"
"psiF",1.81929344585622,4.32901655725678,128.654844357699,7.9419969344563e-11,1.71497496303416e-09,"psiF"
"citT",1.21793583564949,5.84798767164221,128.148981280736,8.25176793192074e-11,1.77394673274225e-09,"citT"
"flhD",-1.27636382984795,6.39711925900046,128.04475732394,8.31721020503798e-11,1.78010379476853e-09,"flhD"
"marB",1.32107954551097,5.10210679596855,127.100414771809,8.93658174637438e-11,1.90423990780674e-09,"marB"
"yecF",-1.47425818523351,7.02967156756385,126.997539103347,9.00703013512973e-11,1.91083354226415e-09,"yecF"
"ilvG",1.18112804150017,7.68293875589139,126.92198826744,9.05915154378186e-11,1.91349851603812e-09,"ilvG"
"rplM",-1.35324645562515,12.3775652403408,126.766311525718,9.16758860826084e-11,1.92798374339816e-09,"rplM"
"ansP",-1.1546726337237,8.42451168730841,126.425754863951,9.40976175586562e-11,1.97034708281913e-09,"ansP"
"nhoA",1.07682590787586,5.64505109011078,125.378546156247,1.01991129636292e-10,2.12642712952908e-09,"nhoA"
"tyrS",-1.05448547972776,9.51515242607644,125.059133887793,1.04540018733602e-10,2.17021489534091e-09,"tyrS"
"SL1344_1768",1.01270417853682,7.54868518217248,124.625151365264,1.08114882046143e-10,2.23483625836407e-09,"SL1344_1768"
"pyrF",-1.74477856870603,6.47553824302651,132.405989936062,1.08901771747304e-10,2.24152285081578e-09,"pyrF"
"rpmH",-1.05645943032294,9.83036959320371,123.870926555274,1.14648295432632e-10,2.34980425850695e-09,"rpmH"
"SL1344_1783",1.61496460290599,5.33840023305719,127.483121710522,1.17973016041183e-10,2.40774463540593e-09,"SL1344_1783"
"eco",1.25072162721933,5.92155877024614,122.435091638102,1.28305749465986e-10,2.60762567297048e-09,"eco"
"rpsT",-1.25565149180195,10.5734429350174,122.280487455291,1.29878777624355e-10,2.62855082581173e-09,"rpsT"
